SLAdataPert1,SLAdataPert1_5,SLAdataRate6_30,SLAdataSSL30,SLAfitPert1,SLAfitPert1_5,SLAfitRate6_30,SLAfitSSL30,SLAstridesToAVGpert,SPdataPert1,SPdataPert1_5,SPdataRate6_30,SPdataSSL30,SPfitPert1,SPfitPert1_5,SPfitRate6_30,SPfitSSL30,SPstridesToAVGpert,STdataPert1,STdataPert1_5,STdataRate6_30,STdataSSL30,STfitPert1,STfitPert1_5,STfitRate6_30,STfitSSL30,STstridesToAVGpert,group,subject,condition,ID
-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,2,-0.309439356470966,-0.307308924807824,-0.205812159616317,0.0795475768578746,-0.309439356470966,-0.307308924807824,-0.205812159616317,0.0795475768578746,2,0.130879792013697,0.143228823425428,0.141704953551661,0.132974238842396,0.130879792013697,0.143228823425428,0.141704953551661,0.132974238842396,2,1,I6,1,38
-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,47,0.0368262878200995,0.0374945317120875,0.0413721675513085,0.0852532569561958,0.0368262878200995,0.0374945317120875,0.0413721675513085,0.0852532569561958,47,0.16656552746137,0.170012481599703,0.157281426842346,0.167389580383579,0.16656552746137,0.170012481599703,0.157281426842346,0.167389580383579,47,1,I6,2,38
-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,16,-0.390243657625605,-0.142567928853853,0.083469095114763,0.0894176239515143,-0.390243657625605,-0.142567928853853,0.083469095114763,0.0894176239515143,16,-0.376059515140278,-0.332508196528936,-0.119502992190851,0.104848611223647,-0.376059515140278,-0.332508196528936,-0.119502992190851,0.104848611223647,16,1,I7,1,39
-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,39,-0.0689950327347741,-0.0455596039832056,0.044213355570081,0.0886098634022727,-0.0689950327347741,-0.0455596039832056,0.044213355570081,0.0886098634022727,39,0,-0.00284299797736101,0.0691047452548345,0.126996006608536,0,-0.00284299797736101,0.0691047452548345,0.126996006608536,39,1,I7,2,39
-0.442213717274006,-0.434739657914876,-0.292492375851068,-0.0344307374293881,-0.442213717274006,-0.434739657914876,-0.292492375851068,-0.0344307374293881,12,-0.158300595548195,-0.154677217103738,-0.08605373824954,0.0801807719341256,-0.158300595548195,-0.154677217103738,-0.08605373824954,0.0801807719341256,12,-0.0226715750152723,-0.00414378065805196,0.0959290574198462,0.167020742771624,-0.0226715750152723,-0.00414378065805196,0.0959290574198462,0.167020742771624,12,1,I8,1,40
-0.367918379114864,-0.316592267496888,-0.174072993006158,-0.0250181151361681,-0.367918379114864,-0.316592267496888,-0.174072993006158,-0.0250181151361681,7,-0.163611551828228,-0.124564327464626,-0.0189121029460411,0.0884898602965114,-0.163611551828228,-0.124564327464626,-0.0189121029460411,0.0884898602965114,7,0.0753959820561256,0.0908006629426911,0.160138713623794,0.1744107272604,0.0753959820561256,0.0908006629426911,0.160138713623794,0.1744107272604,7,1,I8,2,40
-0.353304582126638,-0.310351592532059,-0.196281000577721,-0.0129375776899672,-0.353304582126638,-0.310351592532059,-0.196281000577721,-0.0129375776899672,91,-0.122159900783754,-0.0894100463121414,0.017100292447121,0.146933697279414,-0.122159900783754,-0.0894100463121414,0.017100292447121,0.146933697279414,91,0.0803389710921803,0.0903400575448304,0.113254977656343,0.123075268808749,0.0803389710921803,0.0903400575448304,0.113254977656343,0.123075268808749,91,2,S1,1,41
-0.263168680325773,-0.210194791156438,-0.099208489835857,-0.0152192176367302,-0.263168680325773,-0.210194791156438,-0.099208489835857,-0.0152192176367302,22,-0.0578077813323541,-0.000982654995109064,0.0963890765968849,0.126293293058727,-0.0578077813323541,-0.000982654995109064,0.0963890765968849,0.126293293058727,22,0.0806744670980343,0.0911588468773971,0.109059549922072,0.150975939968971,0.0806744670980343,0.0911588468773971,0.109059549922072,0.150975939968971,22,2,S1,2,41
-0.601467776241882,-0.581577161985393,-0.560012132305259,-0.0554442580624635,-0.601467776241882,-0.581577161985393,-0.560012132305259,-0.0554442580624635,30,-0.300195395221488,-0.278074603301996,-0.269431333303987,0.11085909671963,-0.300195395221488,-0.278074603301996,-0.269431333303987,0.11085909671963,30,0.00525866216620445,0.00858102529108149,0.0451597979341394,0.11597143378738,0.00525866216620445,0.00858102529108149,0.0451597979341394,0.11597143378738,30,2,S2,1,42
-0.30071098070297,-0.289071120109026,-0.214621318679306,-0.0480936101002239,-0.30071098070297,-0.289071120109026,-0.214621318679306,-0.0480936101002239,165,-0.111287091113287,-0.107228338470201,-0.028803780770913,0.106572321988386,-0.111287091113287,-0.107228338470201,-0.028803780770913,0.106572321988386,165,0.131325103188006,0.12544372025326,0.120263723433242,0.139930269326038,0.131325103188006,0.12544372025326,0.120263723433242,0.139930269326038,165,2,S2,2,42
