group,subject,condition,ID,SLA_MONOTONIC_FIT_nsmp_norm,SLA_MONOTONIC_FIT_ttr_norm,SLA_MONOTONIC_FIT_msrates,ST_MONOTONIC_FIT_nsmp_norm,ST_MONOTONIC_FIT_ttr_norm,ST_MONOTONIC_FIT_msrates,SP_MONOTONIC_FIT_nsmp_norm,SP_MONOTONIC_FIT_ttr_norm,SP_MONOTONIC_FIT_msrates,age,weight,height,BMI,PERC_REC_VAR,STD_IN,STD_FIN,STD_DIFF,STD_PERC_VAR,SLAdataPert1,SLAdataPert1_5,SLAdataRate6_30,SLAdataSSL30,SPdataPert1,SPdataPert1_5,SPdataRate6_30,SPdataSSL30,STdataPert1,STdataPert1_5,STdataRate6_30,STdataSSL30
1,I6,1,6,43,179,222,2,0,1,36,128,143,31,74.5,175,24.3265306122449,-0.802523857663844,0.031134379377424,0.0178060299731541,-0.0133283494042699,-0.428091057884856,-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,-0.309439356470966,-0.307308924807824,-0.205812159616317,0.0795475768578746,0.130879792013697,0.143228823425428,0.141704953551661,0.132974238842396
1,I6,2,6,77,219,24,54,151,1,106,286,61,31,74.5,175,24.3265306122449,-0.802523857663844,0.031134379377424,0.0178060299731541,-0.0133283494042699,-0.428091057884856,-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,0.0368262878200995,0.0374945317120875,0.0413721675513085,0.0852532569561958,0.16656552746137,0.170012481599703,0.157281426842346,0.167389580383579
1,I7,1,7,13,117,78,16,187,177,2,0,1,28,72.8,174,24.0454485400978,-0.126005741419436,0.0259735718720468,0.018293920445924,-0.00767965142612284,-0.216100936453858,-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,-0.390243657625605,-0.142567928853853,0.083469095114763,0.0894176239515143,-0.376059515140278,-0.332508196528936,-0.119502992190851,0.104848611223647
1,I7,2,7,88,303,154,39,193,35,208,393,258,28,72.8,174,24.0454485400978,-0.126005741419436,0.0259735718720468,0.018293920445924,-0.00767965142612284,-0.216100936453858,-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,-0.0689950327347741,-0.0455596039832056,0.044213355570081,0.0886098634022727,0,-0.00284299797736101,0.0691047452548345,0.126996006608536
1,I8,1,8,38,122,203,12,41,41,45,134,143,26,92,182.5,27.6224432351285,-0.168007764700583,0.0223446545986188,0.0163576478164607,-0.00598700678215808,-0.267939106229378,-0.442213717274006,-0.434739657914876,-0.292492375851068,-0.0344307374293881,-0.158300595548195,-0.154677217103738,-0.08605373824954,0.0801807719341256,-0.0226715750152723,-0.00414378065805196,0.0959290574198462,0.167020742771624
1,I8,2,8,40,165,240,2,0,1,83,291,241,26,92,182.5,27.6224432351285,-0.168007764700583,0.0223446545986188,0.0163576478164607,-0.00598700678215808,-0.267939106229378,-0.367918379114864,-0.316592267496888,-0.174072993006158,-0.0250181151361681,-0.163611551828228,-0.124564327464626,-0.0189121029460411,0.0884898602965114,0.0753959820561256,0.0908006629426911,0.160138713623794,0.1744107272604
2,S1,1,9,39,149,170,88,226,6,23,70,61,20,68,167,24.3823729785937,-0.255122368519288,0.0155515254092904,0.0142098243479531,-0.0013417010613373,-0.0862745631715187,-0.353304582126638,-0.310351592532059,-0.196281000577721,-0.0129375776899672,-0.122159900783754,-0.0894100463121414,0.017100292447121,0.146933697279414,0.0803389710921803,0.0903400575448304,0.113254977656343,0.123075268808749
2,S1,2,9,29,81,76,27,310,8,12,48,28,20,68,167,24.3823729785937,-0.255122368519288,0.0155515254092904,0.0142098243479531,-0.0013417010613373,-0.0862745631715187,-0.263168680325773,-0.210194791156438,-0.099208489835857,-0.0152192176367302,-0.0578077813323541,-0.000982654995109064,0.0963890765968849,0.126293293058727,0.0806744670980343,0.0911588468773971,0.109059549922072,0.150975939968971
2,S2,1,10,137,356,430,34,95,70,169,406,401,20,79.8,183,23.8287198781689,-0.500038085860749,0.0194511142967588,0.015339954422244,-0.00411115987451488,-0.211358578834732,-0.601467776241882,-0.581577161985393,-0.560012132305259,-0.0554442580624635,-0.300195395221488,-0.278074603301996,-0.269431333303987,0.11085909671963,0.00525866216620445,0.00858102529108149,0.0451597979341394,0.11597143378738
2,S2,2,10,103,266,201,94,278,1,96,251,204,20,79.8,183,23.8287198781689,-0.500038085860749,0.0194511142967588,0.015339954422244,-0.00411115987451488,-0.211358578834732,-0.30071098070297,-0.289071120109026,-0.214621318679306,-0.0480936101002239,-0.111287091113287,-0.107228338470201,-0.028803780770913,0.106572321988386,0.131325103188006,0.12544372025326,0.120263723433242,0.139930269326038
2,S3,1,11,67,228,214,30,98,50,77,303,146,20,52.16,157,21.1611018702584,-0.295989063896286,0.0275094459038049,0.0228746041795128,-0.00463484172429219,-0.168481827678366,-0.274310942819752,-0.263437270294232,-0.228061227350037,0.0139347487575975,-0.0636800324598048,-0.0524018821733019,-0.0257582397782201,0.138979054634604,0.0549476616935227,0.0698322780099098,0.11515824833713,0.163125867216408
2,S3,2,11,23,157,94,88,222,6,19,97,34,20,52.16,157,21.1611018702584,-0.295989063896286,0.0275094459038049,0.0228746041795128,-0.00463484172429219,-0.168481827678366,-0.193117903638026,-0.159865190085058,-0.107740954852057,0.000855732798925826,-0.00711175250803597,0.0125226309494287,0.044091119885242,0.110300488108198,0.114635805820279,0.128934610308099,0.151359752865667,0.16767618267145
2,S4,1,12,11,52,63,9,255,147,6,18,19,26,68,172.5,22.8523419449695,-0.868939654917926,0.0347578945564213,0.017744550459477,-0.0170133440969444,-0.489481434766631,-0.38648404278356,-0.332508956858765,-0.128853718324441,-0.0281161275984058,-0.194882991622659,-0.114475120733069,0.0657916085204058,0.100970214033061,0.0084863836955879,0.0137853671336588,0.0997692435453647,0.147721944278142
2,S4,2,12,296,473,1,4,164,4,221,341,1,26,68,172.5,22.8523419449695,-0.868939654917926,0.0347578945564213,0.017744550459477,-0.0170133440969444,-0.489481434766631,-0.0506527320159284,-0.0410111619170991,-0.0140883133020299,0.0162545460758575,0.100909038387441,0.126595763136103,0.135115341245883,0.133933951447655,0.0855242152318466,0.112787961292332,0.141794106014497,0.157057223928685
2,S5,1,13,22,86,101,8,19,15,22,66,73,25,65.7,173.5,21.8256110423639,-0.537596165635619,0.0290514300152333,0.0148642614941028,-0.0141871685211305,-0.488346649844479,-0.379581352553534,-0.355880115511405,-0.220934584960008,-0.0613705782872931,-0.126710656062937,-0.10970239532369,-0.00432761358691811,0.113519576392686,0.00469377750318042,0.0144725237398531,0.0809471083990151,0.100869730347015
2,S5,2,13,29,92,29,273,472,1,27,83,33,25,65.7,173.5,21.8256110423639,-0.537596165635619,0.0290514300152333,0.0148642614941028,-0.0141871685211305,-0.488346649844479,-0.175519872873972,-0.149400787824479,-0.102932506188508,-0.0412796175832146,-0.00194658157770299,0.0340034334109114,0.0702504664717255,0.121291018619726,0.0987146609084169,0.105818108376951,0.123566676222564,0.116223514884639
2,S6,1,14,56,229,265,6,15,16,66,159,145,21,59.3,173,19.8135587557219,-0.553382503255467,0.017864430702277,0.0159576053401243,-0.00190682536215275,-0.106738658171161,-0.328134540607882,-0.25696281749229,-0.13160186223362,-0.0109264506462428,-0.0970954182727085,-0.042742532675613,0.020725118224519,0.106007500268754,0.0298611103645119,0.0527274434785993,0.130508652474346,0.155888598059519
2,S6,2,14,80,328,128,2,0,1,106,319,126,21,59.3,173,19.8135587557219,-0.553382503255467,0.017864430702277,0.0159576053401243,-0.00190682536215275,-0.106738658171161,-0.14655062712171,-0.139991226804089,-0.101314737227054,-0.0213012974233949,0.00820504021687123,0.0105609003967483,0.0367116862357756,0.0993944437628062,0.0944874984004725,0.114183221846391,0.146101988305213,0.154676566574696
2,S7,1,15,146,385,41,2,0,1,184,385,3,20,58.9,162,22.4432251181222,0.16606335864707,0.01825939956339,0.0244920349733452,0.00623263540995519,0.341338464516193,-0.0914392837118523,-0.0775228704982115,-0.0658819767222327,-0.0399856136610867,0.058304074361893,0.0771410291457185,0.0889374722922795,0.1139358062129,0.155971076492772,0.158451455281725,0.161329448518965,0.126092025268484
2,S7,2,15,18,65,21,2,0,1,15,50,7,20,58.9,162,22.4432251181222,0.16606335864707,0.01825939956339,0.0244920349733452,0.00623263540995519,0.341338464516193,-0.106623998277325,-0.101203898506485,-0.0711948662642329,-0.0347326521284316,0.0556783171154776,0.0545655113949851,0.0830550124525627,0.0978205921695794,0.152810921198605,0.148099780868748,0.147149279828452,0.154027741216521
2,S8,1,16,18,51,51,12,30,30,11,39,29,37,66,161,25.4619806334632,-0.485319300469182,0.0259729704849453,0.0136359619138753,-0.0123370085710699,-0.474994132004301,-0.229986668214335,-0.211446487511029,-0.124491044041918,0.00116476449627303,-0.0310606832677775,-0.00888212297086543,0.0655455172629586,0.109016402308997,0.0282674166374025,0.0196721901600781,0.11060388864811,0.198144175056505
2,S8,2,16,7,25,5,2,0,1,4,206,5,37,66,161,25.4619806334632,-0.485319300469182,0.0259729704849453,0.0136359619138753,-0.0123370085710699,-0.474994132004301,-0.118369699279316,-0.0592014408480591,0.0152473798488984,0.0365357269932927,0.039504005674963,0.063714891819285,0.0887767653038678,0.104824928095621,0.135663378037878,0.184375482310347,0.268778576450421,0.248692447103477
